Ticker,Sector,Industry,RS (%),1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,RS Rank (P),Price,MA10,MA30,Volume / VMA10,EPS RS (%),TTM EPS,Rev RS (%),TTM RPS,TTM PE
TISI,Industrials,Specialty Business Services,112.76,120.02,99.61,-6.55,12.25,-18.77,99.54,21.14,14.98,10.38,2.95,354.98,-12.54,11.4,192.881,
EVGO,Consumer Cyclical,Specialty Retail,111.04,116.6,27.24,-18.11,-48.31,-37.68,99.52,7.23,4.74,3.22,1.97,24.84,-0.4,32.5,1.988,
EOSE,Industrials,Electrical Equipment & Parts,100.37,103.69,48.2,7.07,-56.13,-60.69,99.5,3.14,2.47,1.57,0.92,-99.61,-0.3,-308.14,0.083,
NISN,Industrials,Specialty Business Services,99.06,193.39,94.87,-6.66,38.68,-8.52,99.48,14.15,12.91,8.47,3.18,,4.46,,98.045,3.17
GEVO,Basic Materials,Specialty Chemicals,98.49,65.79,-24.1,-53.14,-44.89,-30.02,99.46,2.06,1.16,0.81,1.47,18.67,-0.32,19.61,0.076,
CRMD,Healthcare,Biotechnology,95.65,77.7,28.13,-11.32,2.29,-25.0,99.44,10.12,6.77,5.48,1.63,19.32,-0.92,303.7,0.014,
CURI,Communication Services,Broadcasting,95.39,80.86,80.33,33.16,17.76,-51.37,99.42,2.11,1.63,1.29,1.52,382.95,-0.72,-9.54,1.028,
APP,Technology,Software - Application,89.36,86.3,29.85,44.05,72.05,26.91,99.4,147.0,108.44,88.15,1.0,83.16,2.34,12.92,11.726,62.82
CVNA,Consumer Cyclical,Auto & Truck Dealerships,88.87,84.07,58.68,79.91,85.15,65.31,99.38,192.25,159.36,125.43,0.99,-1714.55,2.49,19.68,101.398,77.21
PSNL,Healthcare,Diagnostics & Research,88.48,114.54,168.94,-10.86,-28.35,-4.75,99.36,4.73,5.26,2.9,0.54,92.33,-1.64,16.58,1.59,
ZETA,Technology,Software—Infrastructure,88.45,91.18,80.08,43.88,19.11,-16.41,99.34,31.67,27.35,19.66,1.62,70.45,-0.87,14.55,4.9,
KINS,Financial Services,Insurance—Property & Casualty,87.93,78.55,113.32,45.62,81.09,32.58,99.32,9.84,9.11,6.22,0.76,274.62,0.45,6.88,13.148,21.87
QTTB,Healthcare,Biotechnology,87.74,77.87,92.34,-8.7,4.78,-46.87,99.31,48.55,43.16,30.71,0.85,-148.13,-4.51,-1.2659999999999994e+16,-1.241,
MESO,Healthcare,Biotechnology,87.03,107.83,33.74,69.6,21.56,-62.84,99.29,10.08,7.38,6.88,1.75,23.9,-0.89,7.66,0.06,
GDS,Technology,Information Technology Services,86.68,97.03,69.23,1.22,-38.61,-48.62,99.27,21.48,17.44,11.69,0.74,379.83,-3.24,11.07,57.318,
RGS,Consumer Cyclical,Personal Services,85.77,93.18,51.09,63.32,-61.03,-60.2,99.25,26.91,23.83,15.75,0.9,-279.42,37.5,0.92,86.782,0.72
CDNA,Healthcare,Diagnostics & Research,85.65,94.72,101.44,34.64,-5.25,7.63,99.23,30.62,29.91,19.09,1.26,895.45,-2.98,27.94,5.62,
SMR,Industrials,Specialty Industrial Machinery,84.8,89.75,12.55,99.19,-2.62,-65.69,99.21,13.14,10.15,8.83,1.38,10.79,-1.03,-254.53,0.173,
MYTE,Consumer Cyclical,Luxury Goods,82.72,1.95,-3.28,12.31,-20.26,-41.09,99.19,7.95,4.26,4.38,9.26,101.7,-0.32,9.37,9.687,
SRRK,Healthcare,Biotechnology,81.93,-47.4,-39.61,-42.95,18.07,57.43,99.17,26.51,10.5,11.2,6.65,27.69,-2.22,3.7,,
EWTX,Healthcare,Biotechnology,79.42,65.51,17.66,43.69,55.06,16.31,99.15,31.92,22.4,19.4,1.2,40.34,-1.53,3.7,,
JVA,Consumer Defensive,Packaged Foods,79.06,77.8,38.97,51.93,6.22,-38.84,99.13,3.14,2.58,2.02,0.67,169.29,0.2,2.55,13.333,15.7
LENZ,Healthcare,Biotechnology,78.54,94.15,116.34,130.28,406.96,0.94,99.11,24.71,23.5,20.18,0.78,342.96,-2.74,3.7,,
BVS,Healthcare,Medical Devices,77.59,78.08,68.48,12.49,22.38,59.67,99.09,12.13,10.43,7.32,0.87,-93.0,-0.65,16.36,8.477,
VHI,Basic Materials,Chemicals,76.69,77.1,58.45,-2.36,1.86,-10.81,99.07,35.61,29.11,21.22,0.57,287.38,0.86,14.96,70.604,41.41
NTRB,Healthcare,Biotechnology,75.99,37.69,12.79,54.83,37.16,-17.82,99.05,7.91,5.55,5.17,1.41,65.45,-0.81,1.86,0.243,
TIGR,Financial Services,Capital Markets,75.36,156.67,-25.08,-5.91,-24.66,0.81,99.04,8.62,5.13,4.38,5.34,66.29,0.11,17.43,1.602,78.36
CMPO,Industrials,Metal Fabrication,75.04,74.84,65.27,-1.72,-4.5,-25.01,99.02,14.3,12.44,8.76,0.89,79.62,1.04,9.78,19.384,13.75
ADMA,Healthcare,Biotechnology,73.75,113.24,106.6,81.83,32.29,8.59,99.0,17.15,18.04,12.27,1.71,136.59,0.14,33.53,1.447,122.46
POET,Technology,Semiconductors,72.36,101.83,30.7,40.43,-62.36,-76.14,98.98,3.85,3.33,2.48,1.03,24.22,-0.53,-290652499999996.3,0.003,
FTAI,Industrials,Rental & Leasing Services,71.78,70.15,57.98,72.11,58.81,31.29,98.96,146.4,125.2,98.49,1.53,-1605.51,-0.54,32.27,13.694,
SWIM,Industrials,Building Products & Equipment,71.48,68.71,62.62,-23.42,8.42,-29.22,98.94,6.95,6.29,4.39,0.61,408.31,0.11,26.3,4.565,63.18
TVTX,Healthcare,Biotechnology,71.33,63.03,27.1,-24.65,-47.97,-47.54,98.92,16.41,12.1,8.98,2.4,-60.66,-4.98,25.55,2.311,
ETON,Healthcare,Drug Manufacturers—Specialty & Generic,70.13,52.22,6.13,-27.18,-20.83,3.81,98.9,8.0,5.29,4.11,2.26,-113.2,-0.26,19.36,1.219,
CHCI,Real Estate,Real Estate—Diversified,69.16,78.44,28.09,7.29,3.32,-8.34,98.88,11.39,8.49,7.11,2.96,-109.55,0.83,-5.27,4.817,13.72
CAVA,Consumer Cyclical,Restaurants,69.07,65.52,76.32,55.84,31.23,0.07,98.86,133.65,117.67,91.88,0.7,91.09,0.17,4.27,7.616,786.18
MSTR,Technology,Software—Application,69.01,45.67,8.34,40.06,138.59,61.72,98.84,212.59,151.67,148.59,2.09,-42.18,-1.87,-4.32,2.901,
RKLB,Industrials,Aerospace & Defense,68.67,74.6,14.1,-13.19,-32.87,0.31,98.82,9.7,7.52,5.46,0.78,42.33,-0.36,33.8,0.668,
POWL,Industrials,Electrical Equipment & Parts,68.16,60.16,11.14,13.47,42.06,16.92,98.8,262.97,194.33,165.9,1.3,74.5,10.7,25.55,79.126,24.58
RNA,Healthcare,Biotechnology,67.55,76.64,79.02,124.3,96.23,-28.83,98.78,46.6,44.23,36.27,0.65,44.49,-2.95,-25.88,0.123,
SNAL,Communication Services,Electronic Gaming & Multimedia,67.25,-11.44,-28.32,-33.83,-31.61,-23.0,98.77,1.95,0.91,0.92,6.03,242.04,-0.05,62.0,1.997,
EBS,Healthcare,Drug Manufacturers—Specialty & Generic,67.03,84.09,65.91,88.48,-57.83,-72.07,98.75,8.75,8.32,6.68,0.52,-58.51,-11.22,-4.57,21.135,
VST,Utilities,Utilities—Independent Power Producers,66.85,90.41,16.41,54.96,86.36,24.88,98.73,125.29,97.77,87.21,1.62,72.44,1.37,3.48,39.657,91.45
DDL,Consumer Defensive,Grocery Stores,65.58,85.48,38.91,-3.5,-48.77,-54.68,98.71,3.43,2.65,2.02,1.08,259.99,-0.02,11.6,95.708,
GGAL,Financial Services,Banks—Regional,65.52,49.47,61.44,18.61,47.01,7.83,98.69,49.77,41.31,34.15,1.12,146.65,2.34,27.06,4001.249,21.27
DUO,Real Estate,Real Estate Services,65.49,233.56,-44.06,-56.87,-91.55,-92.56,98.67,1.28,0.8,0.65,0.96,,-3.18,,45.159,
APLT,Healthcare,Biotechnology,65.21,53.11,28.61,16.41,97.7,26.19,98.65,8.57,6.7,5.57,0.62,2245.45,-1.43,276.67,-0.003,
AGX,Industrials,Engineering & Construction,64.72,58.98,46.92,21.1,0.25,0.81,98.63,115.14,89.89,74.62,1.36,123.16,3.19,31.05,53.503,36.09
TKNO,Healthcare,Drug Manufacturers—Specialty & Generic,64.11,52.26,58.22,-58.54,-17.37,3.34,98.61,5.45,4.83,3.0,0.4,111.8,-0.92,9.57,0.917,
JG,Technology,Software—Infrastructure,63.87,157.52,37.18,-28.94,-31.45,-44.4,98.59,6.14,5.21,3.73,2.25,241.29,-0.64,11.25,49.496,
LBPH,Healthcare,Biotechnology,63.73,58.26,78.05,127.1,56.25,264.81,98.57,38.9,35.08,27.62,1.69,21.79,-2.16,3.7,,
PPTA,Basic Materials,Other Precious Metals & Mining,62.68,60.34,69.63,15.74,12.33,-16.96,98.55,9.49,8.62,6.72,0.69,9.88,-0.21,3.7,,
PRM,Basic Materials,Specialty Chemicals,62.54,69.78,64.13,22.02,26.23,-37.06,98.53,12.92,11.87,9.08,1.0,290.85,-0.37,34.96,2.611,
PI,Technology,Communication Equipment,61.36,54.53,27.01,42.4,21.88,-21.17,98.51,235.65,185.47,161.72,0.83,267.84,0.28,33.86,11.532,841.61
TECX,Healthcare,Biotechnology,61.12,72.59,2.43,-18.48,-14.8,6.55,98.5,31.36,22.2,17.71,1.06,32.27,-3.07,6.53,,
PLTR,Technology,Software—Infrastructure,61.0,51.87,28.88,20.95,20.17,10.18,98.48,43.51,34.88,27.5,1.16,66.29,0.17,13.12,1.127,255.94
AIRG,Technology,Communication Equipment,60.27,60.42,47.4,24.0,8.31,-34.49,98.46,9.29,7.78,6.44,1.46,24.08,-1.17,17.9,5.022,
BGM,Healthcare,Drug Manufacturers—Specialty & Generic,60.02,71.67,61.56,4.01,-8.44,-40.63,98.44,7.18,6.7,5.0,0.48,,-1.1,,4.178,
IPX,Basic Materials,Other Industrial Metals & Mining,59.97,52.26,31.3,23.86,39.42,20.08,98.42,24.76,18.82,15.97,1.68,,-1.0,,,
MNPR,Healthcare,Biotechnology,59.92,37.38,-22.4,4.55,-21.85,-69.42,98.4,5.5,3.72,3.57,0.12,47.95,-2.3,3.7,,
IESC,Industrials,Engineering & Construction,58.66,54.13,22.04,28.56,64.4,24.33,98.38,219.79,183.11,155.46,1.23,50.64,8.51,15.16,136.443,25.83
COHR,Technology,Scientific & Technical Instruments,58.14,48.32,20.0,34.84,18.7,-3.27,98.36,104.62,82.06,69.39,1.19,71.75,-1.84,15.37,31.045,
AUR,Technology,Information Technology Services,58.06,56.96,22.57,-9.9,2.6,36.23,98.34,5.75,4.73,3.58,1.12,32.95,-0.47,3.7,,
BNTC,Healthcare,Biotechnology,58.05,42.0,52.56,80.32,37.27,-16.47,98.32,10.86,9.21,8.19,1.43,65.27,-5.51,3.7,,
OPT,Healthcare,Biotechnology,57.91,41.69,0.89,-39.9,22.76,-12.08,98.3,5.13,3.44,3.07,2.23,,-2.76,,,
FUTU,Financial Services,Capital Markets,57.52,84.98,-9.05,5.66,-3.4,-6.58,98.28,111.02,75.27,68.87,2.74,47.54,3.89,15.32,69.068,28.54
PDYN,Technology,Software—Infrastructure,57.17,29.28,13.21,51.28,61.26,-67.86,98.26,2.34,1.79,1.8,8.79,222.33,-3.02,28.05,0.337,
RYAM,Basic Materials,Chemicals,57.0,58.68,51.82,13.49,-2.02,-15.4,98.24,8.95,7.96,6.07,0.72,306.48,-1.25,8.6,24.407,
GATO,Basic Materials,Other Precious Metals & Mining,56.64,56.15,28.4,37.32,43.73,4.48,98.23,16.43,13.92,11.85,1.15,129.18,0.39,3.7,,42.13
LX,Financial Services,Credit Services,56.48,72.97,-14.3,-29.17,-27.38,-30.25,98.21,3.35,2.14,1.89,2.77,43.52,0.69,11.07,84.354,4.86
VRNA,Healthcare,Biotechnology,56.34,56.98,42.29,-15.88,-18.38,-7.11,98.19,32.67,28.41,20.28,1.1,-87.05,-1.6,3.7,,
AEYE,Technology,Software - Application,56.32,62.13,59.05,96.62,43.21,-22.26,98.17,23.29,22.93,19.78,0.88,70.45,-0.29,8.71,2.74,
RZLT,Healthcare,Biotechnology,55.43,68.65,73.43,92.01,34.93,-48.38,98.15,4.7,4.69,3.98,0.62,22.38,-1.33,3.7,,
SG,Consumer Cyclical,Restaurants,54.72,44.28,33.32,42.8,79.55,-10.16,98.13,37.88,34.92,29.79,1.18,90.65,-0.82,17.51,5.753,
AXGN,Healthcare,Medical Devices,54.1,47.58,59.21,-6.78,-10.45,1.14,98.11,14.71,13.15,9.23,1.23,192.33,-0.39,14.17,4.011,
INSM,Healthcare,Biotechnology,53.99,53.44,71.62,104.41,0.53,22.3,98.09,74.56,74.47,56.01,0.71,-16.42,-5.41,13.66,2.224,
QFIN,Financial Services,Credit Services,53.61,57.48,27.26,0.36,3.33,-20.19,98.07,33.03,26.74,21.93,0.99,51.34,4.23,-0.72,109.127,7.81
RMTI,Healthcare,Drug Manufacturers—Specialty & Generic,53.53,65.38,50.07,-23.49,-39.65,-34.02,98.05,3.44,3.27,2.25,0.89,595.45,-0.15,13.19,3.041,
CSLR,Technology,Solar,53.27,82.61,19.56,-20.34,-71.5,-29.77,98.03,2.34,2.15,1.45,2.4,736.8,-1.54,-229.4,1.56,
RDW,Industrials,Aerospace & Defense,53.26,47.1,29.57,66.96,27.95,-7.68,98.01,7.75,6.66,5.81,1.38,-38.48,-0.98,10.7,4.471,
TPC,Industrials,Engineering & Construction,53.22,63.77,46.14,61.12,66.51,8.0,97.99,26.73,23.9,20.81,0.79,513.91,-1.31,9.6,81.722,
VIOT,Consumer Cyclical,"Furnishings, Fixtures & Appliances",53.17,68.34,46.69,-7.04,-45.1,-16.02,97.97,1.63,1.48,1.01,0.65,0.0,-0.05,,32.572,
GNSS,Technology,Scientific & Technical Instruments,52.17,54.48,33.92,8.52,-12.75,-40.03,97.96,3.77,3.26,2.54,1.6,54.62,-0.73,6.2,0.659,
CRS,Industrials,Metal Fabrication,52.15,53.95,42.29,23.78,11.55,9.47,97.94,161.99,148.7,116.83,1.07,-281.63,3.69,19.45,55.527,43.9
HYLN,Consumer Cyclical,Auto Parts,52.06,57.12,16.04,12.65,7.39,-54.5,97.92,2.43,2.12,1.79,0.84,132.95,-0.48,-239999999999996.28,0.001,
SPRY,Healthcare,Biotechnology,51.88,53.0,39.38,15.61,35.7,-18.03,97.9,14.52,13.26,10.62,0.58,35.84,-0.47,303.7,0.005,
FTEL,Consumer Cyclical,Specialty Retail,51.76,59.69,45.32,348.65,154.22,-38.78,97.88,16.88,15.56,15.93,0.61,,-0.38,,0.435,
PCT,Industrials,Pollution & Treatment Controls,51.74,52.5,-14.18,-20.44,-21.99,-57.1,97.86,9.4,7.44,6.31,0.75,19.78,-0.94,3.7,,
PCTTU,Industrials,Pollution & Treatment Controls,51.05,20.19,2.77,-14.5,-21.73,-54.47,97.84,11.89,9.36,8.17,0.59,,-0.623,3.7,,
ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",51.0,53.58,128.24,133.5,295.74,-53.34,97.82,2.88,3.09,2.78,0.43,109.88,-3.27,-4.06,17.912,
SE,Consumer Cyclical,Internet Retail,49.86,48.13,32.37,23.4,-5.95,-39.63,97.8,99.29,83.88,71.74,0.82,264.2,-0.36,8.95,25.362,
LWAY,Consumer Defensive,Packaged Foods,49.36,52.2,30.47,-19.61,71.45,54.28,97.78,26.63,21.11,18.02,0.47,53.88,0.9,14.92,12.028,29.59
EUDA,Healthcare,Health Information Services,49.35,53.83,33.66,114.21,20.85,2.46,97.76,3.83,4.02,3.08,1.14,23.9,-0.37,-23.97,0.162,
SKE,Basic Materials,Other Industrial Metals & Mining,49.12,46.28,43.13,19.08,-13.7,-22.67,97.74,8.84,8.07,6.09,0.73,31.96,-1.12,3.7,,
VBFC,Financial Services,Banks—Regional,48.38,50.96,3.25,-5.68,-17.44,-21.97,97.72,76.05,57.31,48.76,2.56,191.09,1.71,25.45,17.501,44.47
LFVN,Consumer Defensive,Packaged Foods,48.28,41.58,32.52,-18.98,-4.46,3.51,97.7,12.15,10.0,7.87,0.75,132.95,0.23,-334.33,16.067,52.83
SFM,Consumer Defensive,Grocery Stores,48.24,47.84,45.31,33.18,26.63,18.75,97.69,116.12,104.05,85.38,0.88,38.36,3.18,9.05,71.04,36.52
AVAH,Healthcare,Medical Care Facilities,48.09,39.19,93.3,3.68,26.13,55.11,97.67,4.97,5.19,3.57,0.86,429.38,-0.67,7.15,10.188,
BFLY,Healthcare,Medical Devices,47.16,61.65,44.9,-30.22,-42.44,-50.39,97.65,1.82,1.47,1.14,0.79,67.95,-0.52,24.61,0.341,
BMA,Financial Services,Banks—Regional,47.14,37.73,43.1,34.08,71.49,9.67,97.62,74.83,63.49,58.27,0.81,86.68,-6793.49,301.03,54305.59,
GCI,Communication Services,Publishing,47.14,58.8,41.59,49.05,-11.86,-8.39,97.62,5.39,5.03,4.1,0.91,-23.91,-0.68,9.39,18.411,
CIA,Financial Services,Insurance—Life,47.05,21.68,3.66,-14.06,-29.44,-9.14,97.59,4.75,3.34,2.8,3.53,37.87,0.43,4.63,4.96,11.05
WOOF,Consumer Cyclical,Specialty Retail,46.35,55.65,-10.64,-19.67,-68.55,-62.92,97.57,5.14,3.85,3.13,0.82,1313.51,-4.98,1.62,23.056,
BILI,Communication Services,Electronic Gaming & Multimedia,46.17,80.94,6.75,4.33,-33.06,-41.62,97.55,22.64,17.6,15.3,1.64,71.7,-1.36,6.05,57.688,
UI,Technology,Communication Equipment,46.08,43.24,29.17,-6.27,-38.4,-38.31,97.53,235.7,203.07,158.88,1.02,27.2,5.8,8.95,31.9,40.64
TURB,Technology,Solar,46.07,-5.71,-10.23,-31.07,-31.52,-43.74,97.51,2.16,1.45,1.27,9.72,,-0.22,,1.277,
BWIN,Financial Services,Insurance Brokers,46.05,49.09,47.42,21.33,1.53,-12.61,97.49,51.62,47.17,37.78,1.27,-456.52,-0.8,7.52,21.258,
LUNR,Industrials,Aerospace & Defense,45.86,49.15,9.47,-34.07,-14.33,-74.08,97.47,7.61,6.21,5.26,0.64,1685.2,-0.17,8.68,4.81,
CRDO,Technology,Semiconductors,45.72,27.04,4.26,41.91,12.31,11.41,97.45,38.26,31.36,26.54,1.21,-19.64,-0.16,13.47,1.368,
NRIX,Healthcare,Biotechnology,45.63,40.86,68.33,58.07,29.59,-1.97,97.43,23.63,23.5,19.11,2.25,35.77,-2.9,-25.11,0.922,
USGO,Basic Materials,Other Industrial Metals & Mining,45.4,46.55,-25.21,-29.11,-34.96,-33.14,97.42,10.38,6.37,6.15,4.99,45.45,-0.82,3.7,,
LMB,Industrials,Building Products & Equipment,45.1,40.35,23.74,19.56,15.02,52.38,97.4,82.11,69.6,57.57,1.01,13.14,2.16,-0.95,46.095,38.01
USLM,Basic Materials,Building Materials,45.01,36.01,24.3,20.33,23.81,5.75,97.38,101.81,85.96,74.68,1.21,-181.88,3.01,9.71,10.125,33.82
FLGC,Healthcare,Drug Manufacturers—Specialty & Generic,44.96,13.84,-25.62,-47.23,-5.78,-60.54,97.36,2.03,1.22,1.32,2.68,-31.75,-0.9,-6.31,7.41,
CLMB,Technology,Electronics & Computer Distribution,44.91,36.18,37.19,-5.68,18.97,2.44,97.34,105.69,93.12,72.62,1.39,32.29,3.02,3.31,83.369,35.0
AKA,Consumer Cyclical,Apparel Retail,44.88,19.57,61.78,19.56,20.35,5.05,97.32,23.04,22.3,17.9,1.22,1224.43,-8.95,10.93,52.49,
TLN,Utilities,Utilities—Independent Power Producers,44.83,77.86,54.49,41.82,39.73,10.9,97.3,159.19,158.06,125.03,1.53,0.0,,0.0,35.938,
RSI,Consumer Cyclical,Gambling,44.24,38.91,31.11,34.67,44.43,-8.54,97.28,11.41,9.95,8.87,1.27,1759.38,-0.09,13.67,10.779,
TPL,Energy,Oil & Gas E&P,43.91,35.69,18.86,11.33,-2.73,-15.12,97.26,1058.42,884.26,739.02,1.37,35.54,19.47,6.41,29.168,54.36
BW,Industrials,Specialty Industrial Machinery,43.29,30.76,-38.38,-31.42,-72.53,-75.88,97.24,2.38,1.49,1.38,2.03,349.62,-0.81,6.65,10.113,
SN,Consumer Cyclical,"Furnishings, Fixtures & Appliances",42.98,49.81,44.94,21.51,24.78,9.81,97.22,107.3,99.11,80.26,0.8,44.32,1.75,16.43,34.176,61.31
CNTA,Healthcare,Biotechnology,42.71,45.83,47.43,-7.98,32.29,10.53,97.2,15.99,14.55,11.36,0.61,31.04,-1.55,-1.7132499999999994e+16,0.068,
VNET,Technology,Information Technology Services,42.58,59.04,10.67,-21.79,-43.25,-31.29,97.18,3.82,2.98,2.28,0.99,1876.7,-2.41,7.57,36.922,
CLPT,Healthcare,Medical Devices,42.13,40.54,67.0,-21.84,-16.09,-22.84,97.16,11.61,11.54,7.91,0.9,42.33,-0.7,15.68,1.099,
TRUP,Financial Services,Insurance—Specialty,41.97,26.48,39.64,-9.27,-16.21,-24.66,97.15,49.03,44.14,33.32,0.96,8.51,-0.45,30.2,28.762,
JANX,Healthcare,Biotechnology,41.87,33.11,40.99,58.15,120.47,-24.96,97.13,49.55,45.24,45.12,1.24,145.45,-0.88,138.96,0.309,
DAVE,Technology,Software—Application,41.55,44.11,33.68,40.63,212.36,14.72,97.11,43.78,38.44,38.72,1.46,-23.66,2.04,13.19,24.051,21.46
PNTG,Healthcare,Medical Care Facilities,41.2,41.66,55.47,30.1,34.93,12.75,97.09,33.79,33.45,26.54,1.05,48.98,0.64,14.02,20.38,52.8
YOU,Technology,Software—Application,41.14,31.29,30.89,-15.57,-21.88,-16.38,97.07,34.18,30.29,22.57,0.92,60.56,0.78,10.84,7.586,43.82
KOSS,Technology,Consumer Electronics,41.12,42.16,62.27,236.29,-34.96,-21.31,97.05,7.24,7.46,5.87,0.59,182.95,-0.1,-2.28,1.326,
XYF,Financial Services,Credit Services,40.96,53.78,5.97,-9.55,-16.59,0.03,97.03,6.86,5.25,4.48,2.83,58.01,3.79,25.92,106.508,1.81
CLBT,Technology,Software—Infrastructure,40.72,38.16,45.34,13.27,26.22,12.46,97.01,18.06,16.77,13.28,1.3,-54.06,-0.54,9.31,1.855,
PCVX,Healthcare,Biotechnology,40.58,39.99,56.4,12.02,2.22,13.86,96.99,114.42,99.85,80.74,0.76,36.57,-4.69,3.7,,
HOOD,Financial Services,Capital Markets,40.02,25.15,14.85,42.93,43.85,8.45,96.97,26.27,21.59,20.6,1.59,187.5,0.31,22.13,2.545,84.74
TREE,Financial Services,Financial Conglomerates,39.82,33.04,41.8,24.1,45.52,11.12,96.95,60.24,55.0,47.43,0.85,554.94,-9.83,29.66,50.989,
USAP,Basic Materials,Steel,39.72,33.27,37.9,18.21,54.27,46.66,96.93,41.19,39.12,32.54,1.0,135.06,1.82,9.98,34.025,22.63
COMP,Real Estate,Real Estate Services,39.1,46.42,38.59,-5.36,4.02,-2.48,96.91,5.91,5.52,4.36,0.71,432.95,-0.48,34.8,10.678,
PAHC,Healthcare,Drug Manufacturers—Specialty & Generic,38.92,28.55,27.85,8.63,-13.63,-24.96,96.89,23.49,20.82,17.76,1.48,268.95,0.06,11.06,25.125,391.5
CSWI,Industrials,Specialty Industrial Machinery,38.84,36.47,14.43,12.45,12.92,14.86,96.88,389.65,339.15,284.63,0.71,84.75,7.01,14.61,52.499,55.58
IGMS,Healthcare,Biotechnology,38.8,46.55,-1.73,-36.49,-17.17,-20.09,96.86,15.0,12.36,10.03,0.65,46.72,-3.57,76.01,0.048,
