Company,Symbol,GICS Sector,GICS Sub-Industry
Healthpeak Properties,DOC,Real Estate,Health Care REITs
HEICO (Class A),HEI.A,Industrials,Aerospace & Defense
HEICO (Common),HEI,Industrials,Aerospace & Defense
Jack Henry & Associates,JKHY,Financials,Transaction & Payment Processing Services
Hershey Company (The),HSY,Consumer Staples,Packaged Foods & Meats
Hess Corporation,HES,Energy,Integrated Oil & Gas
Hewlett Packard Enterprise,HPE,Information Technology,"Technology Hardware, Storage & Peripherals"
Hexcel,HXL,Industrials,Aerospace & Defense
HF Sinclair,DINO,Energy,Oil & Gas Refining & Marketing
Highwoods Properties,HIW,Real Estate,
Hilton Worldwide,HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Hologic,HOLX,Health Care,Health Care Equipment
Home Depot (The),HD,Consumer Discretionary,Home Improvement Retail
Honeywell,HON,Industrials,Industrial Conglomerates
Hormel Foods,HRL,Consumer Staples,Packaged Foods & Meats
Host Hotels & Resorts,HST,Real Estate,Hotel & Resort REITs
Houlihan Lokey,HLI,Financials,
Howard Hughes Holdings,HHH,Real Estate,
Howmet Aerospace,HWM,Industrials,Aerospace & Defense
HP Inc.,HPQ,Information Technology,"Technology Hardware, Storage & Peripherals"
Hubbell Incorporated,HUBB,Industrials,Industrial Machinery & Supplies & Components
HubSpot,HUBS,Information Technology,
Humana,HUM,Health Care,Managed Health Care
Huntington Bancshares,HBAN,Financials,Regional Banks
Huntington Ingalls Industries,HII,Industrials,Aerospace & Defense
Huntsman Corporation,HUN,Materials,
Hyatt Hotels,H,Consumer Discretionary,
IAC Inc.,IAC,Communication Services,
IBM,IBM,Information Technology,IT Consulting & Other Services
Idacorp,IDA,Utilities,Electric Utilities
IDEX Corporation,IEX,Industrials,Industrial Machinery & Supplies & Components
Idexx Laboratories,IDXX,Health Care,Health Care Equipment
Illinois Tool Works,ITW,Industrials,Industrial Machinery & Supplies & Components
"Illumina, Inc.",ILMN,Health Care,Life Sciences Tools & Services
Incyte,INCY,Health Care,Biotechnology
Informatica,INFA,Information Technology,
Ingersoll Rand,IR,Industrials,Industrial Machinery & Supplies & Components
Ingredion,INGR,Consumer Staples,Agricultural Products & Services
Inspire Medical Systems,INSP,Health Care,
Insulet,PODD,Health Care,
Intel,INTC,Information Technology,Semiconductors
Interactive Brokers,IBKR,Financials,Investment Banking & Brokerage
Intercontinental Exchange,ICE,Financials,Financial Exchanges & Data
International Flavors & Fragrances,IFF,Materials,Specialty Chemicals
International Paper,IP,Materials,Paper & Plastic Packaging Products & Materials
Interpublic Group of Companies (The),IPG,Communication Services,Advertising
Intra-Cellular Therapies,ITCI,Health Care,Pharmaceuticals
Intuit,INTU,Information Technology,Application Software
Intuitive Surgical,ISRG,Health Care,Health Care Equipment
Invesco,IVZ,Financials,Asset Management & Custody Banks
Invitation Homes,INVH,Real Estate,
Ionis Pharmaceuticals,IONS,Health Care,
IPG Photonics,IPGP,Information Technology,Electronic Manufacturing Services
IQVIA,IQV,Health Care,Life Sciences Tools & Services
Iridium Communications,IRDM,Communication Services,
Iron Mountain,IRM,Real Estate,Other Specialized REITs
ITT Inc.,ITT,Industrials,Industrial Machinery & Supplies & Components
Jabil,JBL,Information Technology,Electronic Manufacturing Services
Jacobs Solutions,J,Industrials,Construction & Engineering
Janus Henderson,JHG,Financials,Asset Management & Custody Banks
Jazz Pharmaceuticals,JAZZ,Health Care,Pharmaceuticals
J. B. Hunt,JBHT,Industrials,Cargo Ground Transportation
Jefferies Financial Group,JEF,Financials,Multi-Sector Holdings
Johnson & Johnson,JNJ,Health Care,Pharmaceuticals
Johnson Controls,JCI,Industrials,Building Products
Jones Lang LaSalle,JLL,Real Estate,Real Estate Services
JPMorgan Chase,JPM,Financials,Diversified Banks
Juniper Networks,JNPR,Information Technology,Communications Equipment
"KBR, Inc.",KBR,Industrials,Diversified Support Services
Kellanova,K,Consumer Staples,Packaged Foods & Meats
Kemper Corporation,KMPR,Financials,Multi-line Insurance
Kenvue,KVUE,Consumer Staples,Personal Care Products
Keurig Dr Pepper,KDP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Keycorp,KEY,Financials,Regional Banks
Keysight,KEYS,Information Technology,Electronic Equipment & Instruments
Kilroy Realty,KRC,Real Estate,
Kimberly-Clark,KMB,Consumer Staples,Household Products
Kimco Realty,KIM,Real Estate,Retail REITs
Kinder Morgan,KMI,Energy,Oil & Gas Storage & Transportation
Kinsale Capital Group,KNSL,Financials,
Kirby Corporation,KEX,Industrials,Marine
KKR,KKR,Financials,
KLA Corporation,KLAC,Information Technology,Semiconductor Materials & Equipment
Knight-Swift,KNX,Industrials,Cargo Ground Transportation
Kohl's,KSS,Consumer Discretionary,General Merchandise Stores
Kraft Heinz,KHC,Consumer Staples,Packaged Foods & Meats
Kroger,KR,Consumer Staples,Food Retail
Kyndryl,KD,Information Technology,IT Consulting & Other Services
L3Harris,LHX,Industrials,Aerospace & Defense
Labcorp,LH,Health Care,Health Care Services
Lam Research,LRCX,Information Technology,Semiconductor Materials & Equipment
