Symbol,Name,Market Cap,Sector,Industry
RRR,"Red Rock Resorts, Inc.",$5.48 B,Consumer Discretionary,Resorts & Casinos
AMKR,"Amkor Technology, Inc.",$5.48 B,Technology,Semiconductors
CCMP,"CMC Materials, Inc.",$5.47 B,Technology,Semiconductor Equipment & Materials
MUSA,Murphy USA Inc.,$5.44 B,Consumer Discretionary,Specialty Retail
SGMS,Scientific Games Corporation,$5.44 B,Consumer Discretionary,Gambling
NVAX,"Novavax, Inc.",$5.38 B,Healthcare,Biotechnology
VLY,Valley National Bancorp,$5.37 B,Financials,Banks
HQY,"HealthEquity, Inc.",$5.37 B,Healthcare,Health Information Services
JCOM,"J2 Global, Inc.",$5.36 B,Technology,Software—Infrastructure
IRDM,Iridium Communications Inc.,$5.35 B,Communication Services,Telecom Services
SIGI,"Selective Insurance Group, Inc.",$5.33 B,Financials,Insurance—Property & Casualty
ARNA,"Arena Pharmaceuticals, Inc.",$5.25 B,Healthcare,Biotechnology
MATX,"Matson, Inc.",$5.20 B,Industrials,Marine Shipping
TRNO,Terreno Realty Corporation,$5.18 B,Real Estate,REIT—Industrial
LHCG,"LHC Group, Inc.",$5.17 B,Healthcare,Medical Care Facilities
VG,Vonage Holdings Corp.,$5.15 B,Communication Services,Telecom Services
SFBS,"ServisFirst Bancshares, Inc.",$5.15 B,Financials,Banks
MIME,Mimecast Limited,$5.12 B,Technology,Software—Infrastructure
ROG,Rogers Corporation,$5.12 B,Technology,Electronic Components
KNSL,"Kinsale Capital Group, Inc.",$5.11 B,Financials,Insurance—Property & Casualty
CMC,Commercial Metals Company,$5.08 B,Basic Materials,Steel
TGNA,TEGNA Inc.,$5.08 B,Communication Services,Broadcasting
YETI,"YETI Holdings, Inc.",$5.07 B,Consumer Discretionary,Leisure
IGT,International Game Technology PLC,$5.06 B,Consumer Discretionary,Gambling
POR,Portland General Electric Company,$5.05 B,Utilities,Utilities—Regulated Electric
CIT,CIT Group Inc.,$5.02 B,Financials,Banks
RHP,"Ryman Hospitality Properties, Inc.",$5.01 B,Real Estate,REIT—Hotel & Motel
OPCH,"Option Care Health, Inc.",$4.98 B,Healthcare,Medical Care Facilities
HRI,Herc Holdings Inc.,$4.98 B,Industrials,Rental & Leasing Services
SWN,Southwestern Energy Company,$4.97 B,Energy,Oil & Gas E&P
DDS,"Dillard's, Inc.",$4.96 B,Consumer Discretionary,Department Stores
ROLL,RBC Bearings Incorporated,$4.96 B,Industrials,Tools & Accessories
NOVT,Novanta Inc.,$4.95 B,Technology,Scientific & Technical Instruments
RLI,RLI Corp.,$4.95 B,Financials,Insurance—Property & Casualty
BKH,Black Hills Corporation,$4.91 B,Utilities,Utilities—Diversified
CROX,"Crocs, Inc.",$4.89 B,Consumer Discretionary,Footwear & Accessories
CHX,ChampionX Corporation,$4.89 B,Energy,Oil & Gas Equipment & Services
ENSG,"The Ensign Group, Inc.",$4.88 B,Healthcare,Medical Care Facilities
UFPI,"UFP Industries, Inc.",$4.88 B,Basic Materials,Lumber & Wood Production
CARG,"CarGurus, Inc.",$4.87 B,Communication Services,Internet Content & Information
AMN,"AMN Healthcare Services, Inc.",$4.86 B,Healthcare,Medical Care Facilities
NSA,National Storage Affiliates Trust,$4.85 B,Real Estate,REIT—Industrial
ACIA,"Acacia Communications, Inc.",$4.85 B,Technology,Communication Equipment
SSD,"Simpson Manufacturing Co., Inc.",$4.82 B,Industrials,Building Products & Equipment
GBCI,"Glacier Bancorp, Inc.",$4.81 B,Financials,Banks
TRTN,Triton International Limited,$4.81 B,Industrials,Rental & Leasing Services
BXMT,"Blackstone Mortgage Trust, Inc.",$4.78 B,Real Estate,REIT—Mortgage
HELE,Helen of Troy Limited,$4.77 B,Consumer Staples,Household & Personal Products
OGS,"ONE Gas, Inc.",$4.76 B,Utilities,Utilities—Regulated Gas
WTS,"Watts Water Technologies, Inc.",$4.75 B,Industrials,Specialty Industrial Machinery
VRNS,"Varonis Systems, Inc.",$4.74 B,Technology,Software—Infrastructure
ALTR,Altair Engineering Inc.,$4.74 B,Technology,Software—Infrastructure
EXLS,"ExlService Holdings, Inc.",$4.74 B,Technology,Information Technology Services
PSB,"PS Business Parks, Inc.",$4.73 B,Real Estate,REIT—Diversified
SPSC,"SPS Commerce, Inc.",$4.73 B,Technology,Software—Infrastructure
RARE,Ultragenyx Pharmaceutical Inc.,$4.71 B,Healthcare,Biotechnology
MMS,"Maximus, Inc.",$4.70 B,Industrials,Specialty Business Services
UMBF,UMB Financial Corporation,$4.69 B,Financials,Banks
LXP,Lexington Realty Trust,$4.69 B,Real Estate,REIT—Diversified
CWK,Cushman & Wakefield plc,$4.67 B,Real Estate,Real Estate Services
ESNT,Essent Group Ltd.,$4.67 B,Financials,Mortgage Finance
ITCI,"Intra-Cellular Therapies, Inc.",$4.67 B,Healthcare,Biotechnology
PRSP,Perspecta Inc.,$4.66 B,Technology,Information Technology Services
ARWR,"Arrowhead Pharmaceuticals, Inc.",$4.65 B,Healthcare,Biotechnology
BOX,"Box, Inc.",$4.65 B,Technology,Software—Infrastructure
IIPR,"Innovative Industrial Properties, Inc.",$4.65 B,Real Estate,REIT—Industrial
COKE,"Coca-Cola Consolidated, Inc.",$4.64 B,Consumer Staples,Beverages—Non-Alcoholic
SWX,"Southwest Gas Holdings, Inc.",$4.63 B,Utilities,Utilities—Regulated Gas
NTLA,"Intellia Therapeutics, Inc.",$4.62 B,Healthcare,Biotechnology
ATKR,Atkore Inc.,$4.61 B,Industrials,Electrical Equipment & Parts
CNX,CNX Resources Corporation,$4.60 B,Energy,Oil & Gas E&P
SM,SM Energy Company,$4.60 B,Energy,Oil & Gas E&P
NJR,New Jersey Resources Corporation,$4.55 B,Utilities,Utilities—Regulated Gas
HWC,Hancock Whitney Corporation,$4.55 B,Financials,Banks
ORA,"Ormat Technologies, Inc.",$4.51 B,Utilities,Utilities—Renewable
SAIL,"SailPoint Technologies Holdings, Inc.",$4.50 B,Technology,Software—Infrastructure
SITM,SiTime Corporation,$4.48 B,Technology,Semiconductors
GATX,GATX Corporation,$4.47 B,Industrials,Rental & Leasing Services
HGV,Hilton Grand Vacations Inc.,$4.45 B,Consumer Discretionary,Resorts & Casinos
BCPC,Balchem Corporation,$4.43 B,Basic Materials,Specialty Chemicals
PGNY,"Progyny, Inc.",$4.42 B,Healthcare,Health Information Services
CWST,"Casella Waste Systems, Inc.",$4.42 B,Industrials,Waste Management
AVNT,Avient Corporation,$4.41 B,Basic Materials,Specialty Chemicals
MSTR,MicroStrategy Incorporated,$4.41 B,Technology,Software—Application
UBSI,"United Bankshares, Inc.",$4.40 B,Financials,Banks
MXL,"MaxLinear, Inc.",$4.38 B,Technology,Semiconductors
SMTC,Semtech Corporation,$4.38 B,Technology,Semiconductors
NAV,Navistar International Corporation,$4.38 B,Industrials,Farm & Heavy Construction Machinery
FIZZ,National Beverage Corp.,$4.37 B,Consumer Staples,Beverages—Non-Alcoholic
APPN,Appian Corporation,$4.34 B,Technology,Software—Infrastructure
RXN,Rexnord Corporation,$4.33 B,Industrials,Specialty Industrial Machinery
ADC,Agree Realty Corporation,$4.32 B,Real Estate,REIT—Retail
IRTC,"iRhythm Technologies, Inc.",$4.32 B,Healthcare,Medical Instruments & Supplies
RDN,Radian Group Inc.,$4.29 B,Financials,Insurance—Specialty
FRPT,"Freshpet, Inc.",$4.28 B,Consumer Staples,Packaged Foods
CNMD,CONMED Corporation,$4.25 B,Healthcare,Medical Devices
ONTO,Onto Innovation Inc.,$4.25 B,Technology,Semiconductors
NARI,"Inari Medical, Inc.",$4.23 B,Healthcare,Medical Devices
SAFM,"Sanderson Farms, Inc.",$4.20 B,Consumer Staples,Packaged Foods
QTS,"QTS Realty Trust, Inc.",$4.19 B,Real Estate,REIT—Industrial
APG,APi Group Corporation,$4.17 B,Industrials,Engineering & Construction
ELY,Callaway Golf Company,$4.16 B,Consumer Discretionary,Leisure
SPT,"Sprout Social, Inc.",$4.16 B,Technology,Software—Application
BECN,"Beacon Roofing Supply, Inc.",$4.16 B,Industrials,Building Products & Equipment
MTSI,"MACOM Technology Solutions Holdings, Inc.",$4.15 B,Technology,Semiconductors
WHD,"Cactus, Inc.",$4.15 B,Energy,Oil & Gas Equipment & Services
PNM,"PNM Resources, Inc.",$4.15 B,Utilities,Utilities—Regulated Electric
BL,"BlackLine, Inc.",$4.15 B,Technology,Software—Infrastructure
LANC,Lancaster Colony Corporation,$4.14 B,Consumer Staples,Packaged Foods
MRTX,"Mirati Therapeutics, Inc.",$4.13 B,Healthcare,Biotechnology
FOXF,Fox Factory Holding Corp.,$4.11 B,Consumer Discretionary,Recreational Vehicles
CNS,"Cohen & Steers, Inc.",$4.11 B,Financials,Asset Management
HLNE,Hamilton Lane Incorporated,$4.10 B,Financials,Asset Management
LTHM,Livent Corporation,$4.09 B,Basic Materials,Specialty Chemicals
WD,"Walker & Dunlop, Inc.",$4.07 B,Financials,Mortgage Finance
GT,The Goodyear Tire & Rubber Company,$4.06 B,Consumer Discretionary,Auto Parts
BKU,"BankUnited, Inc.",$4.05 B,Financials,Banks
SJI,"South Jersey Industries, Inc.",$4.02 B,Utilities,Utilities—Diversified
AIT,"Applied Industrial Technologies, Inc.",$4.01 B,Industrials,Industrial Distribution
LIVN,LivaNova PLC,$3.99 B,Healthcare,Medical Devices
ENV,"Envestnet, Inc.",$3.99 B,Technology,Software—Application
HR,Healthcare Realty Trust Incorporated,$3.97 B,Real Estate,REIT—Healthcare Facilities
FLR,Fluor Corporation,$3.97 B,Industrials,Engineering & Construction
APPS,"Digital Turbine, Inc.",$3.97 B,Technology,Software—Application
BE,Bloom Energy Corporation,$3.93 B,Industrials,Electrical Equipment & Parts
APLS,"Apellis Pharmaceuticals, Inc.",$3.93 B,Healthcare,Biotechnology
COOP,Mr. Cooper Group Inc.,$3.92 B,Financials,Mortgage Finance
PSN,Parsons Corporation,$3.92 B,Industrials,Specialty Industrial Machinery
ADNT,Adient plc,$3.92 B,Consumer Discretionary,Auto Parts
DOC,Physicians Realty Trust,$3.90 B,Real Estate,REIT—Healthcare Facilities
DIOD,Diodes Incorporated,$3.89 B,Technology,Semiconductors
NSP,"Insperity, Inc.",$3.89 B,Industrials,Staffing & Employment Services
FN,Fabrinet,$3.89 B,Technology,Electronic Components
NGHC,National General Holdings Corp.,$3.88 B,Financials,Insurance—Specialty
CELH,"Celsius Holdings, Inc.",$3.86 B,Consumer Staples,Beverages—Non-Alcoholic
SIG,Signet Jewelers Limited,$3.85 B,Consumer Discretionary,Luxury Goods
PZZA,"Papa John's International, Inc.",$3.85 B,Consumer Discretionary,Restaurants
SR,Spire Inc.,$3.85 B,Utilities,Utilities—Regulated Gas
CBU,"Community Bank System, Inc.",$3.84 B,Financials,Banks
TTEC,"TTEC Holdings, Inc.",$3.84 B,Technology,Information Technology Services
APPF,"AppFolio, Inc.",$3.83 B,Technology,Software—Application
FELE,"Franklin Electric Co., Inc.",$3.81 B,Industrials,Specialty Industrial Machinery
VIAV,Viavi Solutions Inc.,$3.79 B,Technology,Communication Equipment
CSOD,"Cornerstone OnDemand, Inc.",$3.79 B,Technology,Software—Application
AMRC,"Ameresco, Inc.",$3.79 B,Industrials,Engineering & Construction
NSIT,"Insight Enterprises, Inc.",$3.79 B,Technology,Information Technology Services
MMSI,"Merit Medical Systems, Inc.",$3.77 B,Healthcare,Medical Instruments & Supplies
DNLI,Denali Therapeutics Inc.,$3.77 B,Healthcare,Biotechnology
AEL,American Equity Investment Life Holding Company,$3.75 B,Financials,Insurance—Life
ACIW,"ACI Worldwide, Inc.",$3.73 B,Technology,Software—Infrastructure
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",$3.72 B,Real Estate,REIT—Specialty
HOMB,"Home Bancshares, Inc. (Conway, AR)",$3.72 B,Financials,Banks
LNTH,"Lantheus Holdings, Inc.",$3.71 B,Healthcare,Diagnostics & Research
JBT,John Bean Technologies Corporation,$3.70 B,Industrials,Specialty Industrial Machinery
AMBA,"Ambarella, Inc.",$3.69 B,Technology,Semiconductor Equipment & Materials
CADE,Cadence Bancorporation,$3.68 B,Financials,Banks
SMPL,The Simply Good Foods Company,$3.67 B,Consumer Staples,Packaged Foods
KRTX,"Karuna Therapeutics, Inc.",$3.67 B,Healthcare,Biotechnology
STAA,STAAR Surgical Company,$3.64 B,Healthcare,Medical Instruments & Supplies
FLOW,"SPX FLOW, Inc.",$3.64 B,Industrials,Specialty Industrial Machinery
ISBC,"Investors Bancorp, Inc.",$3.63 B,Financials,Banks
SUM,"Summit Materials, Inc.",$3.62 B,Basic Materials,Building Materials
BMCH,"BMC Stock Holdings, Inc.",$3.61 B,Basic Materials,Building Materials
PCH,PotlatchDeltic Corporation,$3.61 B,Real Estate,REIT—Specialty
BPMC,Blueprint Medicines Corporation,$3.60 B,Healthcare,Biotechnology
SVMK,SVMK Inc.,$3.59 B,Technology,Software—Application
CATY,Cathay General Bancorp,$3.57 B,Financials,Banks
MANT,ManTech International Corporation,$3.56 B,Technology,Software—Application
SITC,SITE Centers Corp.,$3.56 B,Real Estate,REIT—Retail
RMBS,Rambus Inc.,$3.56 B,Technology,Semiconductors
WING,Wingstop Inc.,$3.55 B,Consumer Discretionary,Restaurants
FUL,H.B. Fuller Company,$3.55 B,Basic Materials,Specialty Chemicals
PFSI,"PennyMac Financial Services, Inc.",$3.54 B,Financials,Mortgage Finance
EYE,"National Vision Holdings, Inc.",$3.54 B,Consumer Discretionary,Specialty Retail
TMHC,Taylor Morrison Home Corporation,$3.53 B,Consumer Discretionary,Residential Construction
SXT,Sensient Technologies Corporation,$3.53 B,Basic Materials,Specialty Chemicals
KFY,Korn Ferry,$3.50 B,Industrials,Staffing & Employment Services
PRFT,"Perficient, Inc.",$3.49 B,Technology,Information Technology Services
BIPC,Brookfield Infrastructure Corporation,$3.49 B,Utilities,Utilities—Regulated Gas
KW,"Kennedy-Wilson Holdings, Inc.",$3.48 B,Real Estate,Real Estate Services
HL,Hecla Mining Company,$3.46 B,Basic Materials,Gold
HI,"Hillenbrand, Inc.",$3.43 B,Industrials,Specialty Industrial Machinery
ATI,Allegheny Technologies Incorporated,$3.42 B,Industrials,Metal Fabrication
VRNT,Verint Systems Inc.,$3.41 B,Technology,Software—Infrastructure
BEAM,Beam Therapeutics Inc.,$3.40 B,Healthcare,Biotechnology
UNF,UniFirst Corporation,$3.40 B,Industrials,Specialty Business Services
ALE,"ALLETE, Inc.",$3.40 B,Utilities,Utilities—Diversified
BCO,The Brink's Company,$3.40 B,Industrials,Security & Protection Services
SI,Silvergate Capital Corporation,$3.39 B,Financials,Banks
WBT,"Welbilt, Inc.",$3.39 B,Industrials,Specialty Industrial Machinery
NTRA,"Natera, Inc.",$3.37 B,Healthcare,Diagnostics & Research
REZI,"Resideo Technologies, Inc.",$3.37 B,Industrials,Security & Protection Services
JOE,The St. Joe Company,$3.36 B,Real Estate,Real Estate—Diversified
CNO,"CNO Financial Group, Inc.",$3.35 B,Financials,Insurance—Life
FHI,"Federated Hermes, Inc.",$3.35 B,Financials,Asset Management
SPWR,SunPower Corporation,$3.35 B,Technology,Solar
PPBI,"Pacific Premier Bancorp, Inc.",$3.34 B,Financials,Banks
OMI,"Owens & Minor, Inc.",$3.34 B,Healthcare,Medical Distribution
CMD,Cantel Medical Corp.,$3.34 B,Healthcare,Medical Instruments & Supplies
,,"(Feb. 18, 2021)",,
FATE,"Fate Therapeutics, Inc.",$3.33 B,Healthcare,Biotechnology
FOCS,Focus Financial Partners Inc.,$3.33 B,Financials,Capital Markets
TRUP,"Trupanion, Inc.",$3.33 B,Financials,Insurance—Specialty
NNI,"Nelnet, Inc.",$3.31 B,Financials,Credit Services
AWR,American States Water Company,$3.31 B,Utilities,Utilities—Regulated Water
AEIS,"Advanced Energy Industries, Inc.",$3.30 B,Industrials,Electrical Equipment & Parts
ALRM,"Alarm.com Holdings, Inc.",$3.28 B,Technology,Software—Application
SONO,"Sonos, Inc.",$3.28 B,Technology,Consumer Electronics
VIR,"Vir Biotechnology, Inc.",$3.28 B,Healthcare,Biotechnology
PCRX,"Pacira BioSciences, Inc.",$3.28 B,Healthcare,Drug Manufacturers—Specialty & Generic
PEB,Pebblebrook Hotel Trust,$3.27 B,Real Estate,REIT—Hotel & Motel
SBRA,"Sabra Health Care REIT, Inc.",$3.27 B,Real Estate,REIT—Healthcare Facilities
KBH,KB Home,$3.26 B,Consumer Discretionary,Residential Construction
SGRY,"Surgery Partners, Inc.",$3.26 B,Healthcare,Medical Care Facilities
HMSY,HMS Holdings Corp.,$3.26 B,Healthcare,Health Information Services
MSGN,MSG Networks Inc.,$3.26 B,Communication Services,Entertainment
NEOG,Neogen Corporation,$3.26 B,Healthcare,Diagnostics & Research
UNIT,Uniti Group Inc.,$3.25 B,Real Estate,REIT—Specialty
FIX,"Comfort Systems USA, Inc.",$3.23 B,Industrials,Engineering & Construction
ENS,EnerSys,$3.22 B,Industrials,Electrical Equipment & Parts
ARVN,"Arvinas, Inc.",$3.22 B,Healthcare,Biotechnology
SEM,Select Medical Holdings Corporation,$3.22 B,Healthcare,Medical Care Facilities
MAC,The Macerich Company,$3.21 B,Real Estate,REIT—Retail
MDRX,"Allscripts Healthcare Solutions, Inc.",$3.21 B,Healthcare,Health Information Services
FORM,"FormFactor, Inc.",$3.21 B,Technology,Semiconductors
QTWO,"Q2 Holdings, Inc.",$3.20 B,Technology,Software—Application
CCOI,"Cogent Communications Holdings, Inc.",$3.19 B,Communication Services,Telecom Services
SSTK,"Shutterstock, Inc.",$3.18 B,Communication Services,Internet Content & Information
WLL,Whiting Petroleum Corporation,$3.18 B,Energy,Oil & Gas E&P
CVBF,CVB Financial Corp.,$3.18 B,Financials,Banks
AVA,Avista Corporation,$3.18 B,Utilities,Utilities—Diversified
GEF,"Greif, Inc.",$3.17 B,Consumer Discretionary,Packaging & Containers
MLI,"Mueller Industries, Inc.",$3.17 B,Industrials,Metal Fabrication
SHOO,"Steven Madden, Ltd.",$3.16 B,Consumer Discretionary,Footwear & Accessories
AJRD,"Aerojet Rocketdyne Holdings, Inc.",$3.14 B,Industrials,Aerospace & Defense
EVTC,"EVERTEC, Inc.",$3.14 B,Technology,Software—Infrastructure
NWE,NorthWestern Corporation,$3.13 B,Utilities,Utilities—Diversified
NAVI,Navient Corporation,$3.13 B,Financials,Credit Services
PDCO,"Patterson Companies, Inc.",$3.11 B,Healthcare,Medical Distribution
APAM,Artisan Partners Asset Management Inc.,$3.10 B,Financials,Asset Management
IBTX,"Independent Bank Group, Inc.",$3.10 B,Financials,Banks
CWT,California Water Service Group,$3.09 B,Utilities,Utilities—Regulated Water
TROX,Tronox Holdings plc,$3.08 B,Basic Materials,Chemicals
KWR,Quaker Chemical Corporation,$3.08 B,Basic Materials,Specialty Chemicals
CVLT,"Commvault Systems, Inc.",$3.07 B,Technology,Software—Application
ABM,ABM Industries Incorporated,$3.07 B,Industrials,Specialty Business Services
ABG,"Asbury Automotive Group, Inc.",$3.07 B,Consumer Discretionary,Auto & Truck Dealerships
GPI,"Group 1 Automotive, Inc.",$3.06 B,Consumer Discretionary,Auto & Truck Dealerships
ABCB,Ameris Bancorp,$3.06 B,Financials,Banks
VC,Visteon Corporation,$3.06 B,Consumer Discretionary,Auto Parts
CNR,"Cornerstone Building Brands, Inc.",$3.05 B,Industrials,Building Products & Equipment
BXS,BancorpSouth Bank,$3.05 B,Financials,Banks
EPRT,"Essential Properties Realty Trust, Inc.",$3.03 B,Real Estate,REIT—Diversified
DORM,"Dorman Products, Inc.",$3.03 B,Consumer Discretionary,Auto Parts
KOS,Kosmos Energy Ltd.,$3.02 B,Energy,Oil & Gas E&P
MTH,Meritage Homes Corporation,$3.02 B,Consumer Discretionary,Residential Construction
UCBI,"United Community Banks, Inc.",$3.02 B,Financials,Banks
SKY,Skyline Champion Corporation,$3.01 B,Consumer Discretionary,Residential Construction
NMRK,"Newmark Group, Inc.",$3.01 B,Real Estate,Real Estate Services
EXPI,"eXp World Holdings, Inc.",$3.01 B,Real Estate,Real Estate Services
SAFE,Safehold Inc.,$3.00 B,Real Estate,REIT—Diversified
CRK,"Comstock Resources, Inc.",$2.98 B,Energy,Oil & Gas E&P
PTEN,"Patterson-UTI Energy, Inc.",$2.98 B,Energy,Oil & Gas Drilling
VICR,Vicor Corporation,$2.98 B,Technology,Electronic Components
AUB,Atlantic Union Bankshares Corporation,$2.97 B,Financials,Banks
JJSF,J & J Snack Foods Corp.,$2.97 B,Consumer Staples,Packaged Foods
MGEE,"MGE Energy, Inc.",$2.95 B,Utilities,Utilities—Diversified
GOLF,Acushnet Holdings Corp.,$2.95 B,Consumer Discretionary,Leisure
AAON,"AAON, Inc.",$2.95 B,Industrials,Building Products & Equipment
FBP,First BanCorp.,$2.93 B,Financials,Banks
DRNA,"Dicerna Pharmaceuticals, Inc.",$2.93 B,Healthcare,Biotechnology
CRVL,CorVel Corporation,$2.93 B,Financials,Insurance Brokers
FCFS,"FirstCash, Inc.",$2.93 B,Financials,Credit Services
TCBI,"Texas Capital Bancshares, Inc.",$2.93 B,Financials,Banks
SFNC,Simmons First National Corporation,$2.91 B,Financials,Banks
NUVA,"NuVasive, Inc.",$2.90 B,Healthcare,Medical Devices
MOG.A,Moog Inc.,$2.89 B,Industrials,Aerospace & Defense
GSHD,"Goosehead Insurance, Inc",$2.88 B,Financials,Insurance—Diversified
DY,"Dycom Industries, Inc.",$2.88 B,Industrials,Engineering & Construction
CIM,Chimera Investment Corporation,$2.87 B,Real Estate,REIT—Mortgage
ATRC,"AtriCure, Inc.",$2.87 B,Healthcare,Medical Instruments & Supplies
TWNK,"Hostess Brands, Inc.",$2.87 B,Consumer Staples,Packaged Foods
BLKB,"Blackbaud, Inc.",$2.87 B,Technology,Software—Application
MC,Moelis & Company,$2.86 B,Financials,Capital Markets
VSH,"Vishay Intertechnology, Inc.",$2.86 B,Technology,Semiconductors
